,title,price,rating,image,description,url
0,"Marshall Acton III Bluetooth Home Speaker, Black",$249.99,4.8 ,https://m.media-amazon.com/images/I/61MuPwDgl6L.__AC_SY300_SX300_QL70_FMwebp_.jpg,"This new generation of the home line-up has an even wider soundstage than its predecessor, re-engineered for a more immersive experience. This new generation has tweeters angled outwards and updated waveguides to deliver a consistently solid sound that is so wide it chases you around the room. Experience a balanced sound, with crisp, soaring treble and controlled, rumbling bass. Built-in Dynamic Loudness adjusts the tonal balance of the sound, ensuring your music sounds brilliant at every volume, while Placement Compensation corrects for any nearby reflective surfaces that may affect the sound.Marshall has taken its signature rock ’n’ roll home speaker line-up and given it a stripped-back look that makes a loud statement. Its iconic design knocks all other speakers off the shelf. Generation III is ready for the future of Bluetooth technology and has been built to deliver next-generation Bluetooth features the moment they are available. Over 55 years of sound knowledge is combined with future-proof technology to completely immerse you in your music.",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4Mjc2NjI2NjY3Nzk1MDc1OjE3MTA1ODk0ODQ6c3BfYXRmOjMwMDA0MzgzMjkwODMwMjo6MDo6&url=%2FMarshall-Acton-Bluetooth-Speaker-Black%2Fdp%2FB0BC27MM5Z%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.pCIyXyl6jitR9GPiizoNP8R6Rp2wdTu29Doa5k1Y0WQ3Y80RWmkZFGRvQ2gqEeVlPaW55KUlcwj8iC3riUn2dipc2L9K9GZUdRHe6JXaNy9yWgFMoHzElIiDtrAimhGvpXv13bbGps0aYAof51YiLAD-bqsafXT_l-hEx6cYf4sb6imXTgPyFeGrj6CraTFSw2ULITEdhIEkt3a8s7XXfnBKrXBEVVrI9SkZk1DEyUZZIhCd1ikrjY1g4kpQOslUyrEBBlJKU-rO1ug6M6r1aqIvIZ56MXTB_VcW3Eg9a2g.OoJ4li1pLUy1ifrOMzLOJEAMppLVpgPbtSYMRnScCi0%26dib_tag%3Dse%26keywords%3Dbose%26qid%3D1710589484%26s%3Daht%26sr%3D1-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
1,"Bose QuietComfort Earbuds II Bundle with Protective Silicone Carrying Case and Cloth - Active Wireless Noise Cancelling in-Ear Bluetooth Headphones with Personalized Sound, Bose Earbuds 2 (White)",$279.99,4.3 ,https://m.media-amazon.com/images/I/616ly-+BM3L._AC_SY300_SX300_.jpg,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4Mjc2NjI2NjY3Nzk1MDc1OjE3MTA1ODk0ODQ6c3BfYXRmOjMwMDEyOTY4Mjk3MDAwMjo6MDo6&url=%2FQuietComfort-Earbuds-Protective-Silicone-Carrying%2Fdp%2FB0CSR27R8R%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.pCIyXyl6jitR9GPiizoNP8R6Rp2wdTu29Doa5k1Y0WQ3Y80RWmkZFGRvQ2gqEeVlPaW55KUlcwj8iC3riUn2dipc2L9K9GZUdRHe6JXaNy9yWgFMoHzElIiDtrAimhGvpXv13bbGps0aYAof51YiLAD-bqsafXT_l-hEx6cYf4sb6imXTgPyFeGrj6CraTFSw2ULITEdhIEkt3a8s7XXfnBKrXBEVVrI9SkZk1DEyUZZIhCd1ikrjY1g4kpQOslUyrEBBlJKU-rO1ug6M6r1aqIvIZ56MXTB_VcW3Eg9a2g.OoJ4li1pLUy1ifrOMzLOJEAMppLVpgPbtSYMRnScCi0%26dib_tag%3Dse%26keywords%3Dbose%26qid%3D1710589484%26s%3Daht%26sr%3D1-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
2,"Bose QuietComfort Wireless Noise Cancelling Headphones, Bluetooth Over Ear Headphones with Up To 24 Hours of Battery Life, Black",$249.00,4.6 ,https://m.media-amazon.com/images/I/51QeS0jkx-L.__AC_SX300_SY300_QL70_FMwebp_.jpg,"Go beyond the beat and take control of the sound that puts you on top of the world with Bose QuietComfort Wireless Noise Cancelling Headphones. Experience powerful high-fidelity audio with legendary noise cancellation in these wireless Bluetooth headphones that allow you to block everything out but the beat and control what you hear. These Bose wireless headphones feature new custom modes that give you the power to adjust noise cancellation based in the moment and the option to turn on Wind Block to tune out breezy environments. Or simply toggle your Bose over ear headphones between Quiet and Aware Modes for a quick change when the world calls for it. These Bose wireless headphones come in Black, White Smoke, and a striking limited-edition Cypress Green headphones color option that are as bold as they are iconic. Adjustable EQ puts you in control of tuning your music and Spotify Tap starts your listening session at the push of a button on the side of the over the ear headphones. With up to 24 hours of battery life on a single charge, your Bluetooth headphones are ready for any adventure. Multi-point toggle lets you switch between multiple wireless connections on these around ear headphones without disconnecting and reconnecting each time. Plug in the optional audio cable with in-line microphone into these wireless headphones to make the headphones wired and use without a Bluetooth connection. The Bose Music app guides you through setup, lets you personalize settings, and keeps your headphones’ software up-to-date. Press play and take charge of your music with Bose QuietComfort Noise Cancelling Headphones.",https://www.amazon.com/Bose-QuietComfort-Cancelling-Headphones-Bluetooth/dp/B0CCZ26B5V/ref=sr_1_3?dib=eyJ2IjoiMSJ9.pCIyXyl6jitR9GPiizoNP8R6Rp2wdTu29Doa5k1Y0WQ3Y80RWmkZFGRvQ2gqEeVlPaW55KUlcwj8iC3riUn2dipc2L9K9GZUdRHe6JXaNy9yWgFMoHzElIiDtrAimhGvpXv13bbGps0aYAof51YiLAD-bqsafXT_l-hEx6cYf4sb6imXTgPyFeGrj6CraTFSw2ULITEdhIEkt3a8s7XXfnBKrXBEVVrI9SkZk1DEyUZZIhCd1ikrjY1g4kpQOslUyrEBBlJKU-rO1ug6M6r1aqIvIZ56MXTB_VcW3Eg9a2g.OoJ4li1pLUy1ifrOMzLOJEAMppLVpgPbtSYMRnScCi0&dib_tag=se&keywords=bose&qid=1710589484&s=aht&sr=1-3
3,"Bose QuietComfort Ultra Wireless Noise Cancelling Headphones with Spatial Audio, Over-the-Ear Headphones with Mic, Up to 24 Hours of Battery Life, Black",$379.00,4.2 ,https://m.media-amazon.com/images/I/51NC9ErIQtL.__AC_SX300_SY300_QL70_FMwebp_.jpg,"Bose QuietComfort Ultra Headphones take everything music makes you feel to new highs. The high-end headphones start with world-class noise cancellation that’s quieter than its predecessors. Breakthrough spatial audio headphones allow your music to feel more immersive than ever before. Bose Immersive Audio takes what you’re hearing out of your head and places it in front of you for the most natural listening experience, no matter the content or source. CustomTune technology upgrades sound even more by analyzing your ear’s shape and adapting the audio performance so everything you listen to hits exactly as it should. Noise cancelling headphones with mic feature a revolutionary system of mics that focus on your voice, allowing you to enjoy crystal clear phone calls. These noise cancelling over-the-ear headphones keep the session going with up to 24 hours of battery life (up to 18 hours with Immersive Audio) and unrivaled comfort from luxe materials. The earcups wrap your ears in a soft hug while the band spreads pressure evenly. The sleek metal arms add a statement of sophisticated design for ideal audiophile headphones. Sync sound between your QC Ultra Headphones and a Bose smart soundbar with SimpleSync technology. The headphones also feature Snapdragon Sound Certification for Android and quick pairing with Google Fast Pair. Connect these wireless Bluetooth noise cancelling headphones to your devices with advanced Bluetooth 5.3. Keep track of what you have paired in the Bose Music app. The app makes setup quick and easy, gives you access to Adjustable EQ settings and more.",https://www.amazon.com/Bose-QuietComfort-Wireless-Cancelling-Headphones/dp/B0CCZ1L489/ref=sr_1_4?dib=eyJ2IjoiMSJ9.pCIyXyl6jitR9GPiizoNP8R6Rp2wdTu29Doa5k1Y0WQ3Y80RWmkZFGRvQ2gqEeVlPaW55KUlcwj8iC3riUn2dipc2L9K9GZUdRHe6JXaNy9yWgFMoHzElIiDtrAimhGvpXv13bbGps0aYAof51YiLAD-bqsafXT_l-hEx6cYf4sb6imXTgPyFeGrj6CraTFSw2ULITEdhIEkt3a8s7XXfnBKrXBEVVrI9SkZk1DEyUZZIhCd1ikrjY1g4kpQOslUyrEBBlJKU-rO1ug6M6r1aqIvIZ56MXTB_VcW3Eg9a2g.OoJ4li1pLUy1ifrOMzLOJEAMppLVpgPbtSYMRnScCi0&dib_tag=se&keywords=bose&qid=1710589484&s=aht&sr=1-4
4,"Bose QuietComfort 45 Wireless Bluetooth Noise Cancelling Headphones, Over-Ear Headphones with Microphone, Personalized Noise Cancellation and Sound, White Smoke",$329.00,4.6 ,https://m.media-amazon.com/images/I/51iAp-Nq7FL.__AC_SX300_SY300_QL70_FMwebp_.jpg,"The first noise cancelling headphones are back, with quiet, lightweight materials, and proprietary technology for deep, clear sound and adjustable EQ so you can tune your music to your liking. Bose QuietComfort 45 headphones aren’t just an icon reborn – they’re the perfect balance of quiet, comfort, and sound. Plus, everything that made the first around ear headphones an icon is still here. Just refined. Like an updated design with smooth cushions and a clean look. Plush synthetic leather, impact-resistant glass-filled nylon, and cast-metal hinges were all selected for their comfort as well as their durability. Add in minimal clamping force, and you’ll almost forget you’re wearing Bluetooth wireless noise cancelling headphones. Enhanced Acoustic Noise Cancelling™ technology produces the true quiet needed to hear every detail of your music in high fidelity. Or, choose the new Aware Mode to hear your music and your environment together. TriPort acoustic architecture and Bose's innovative Volume-optimized Active EQ add depth and clarity while maintaining balance at any volume. And lightweight materials such as synthetic leather and glass-filled nylon were meticulously selected for comfort and durability. The headphones offer 24 hours of play time*, charge via USB-C®, and feature six microphones for clearer calls. Bluetooth® 5.1 maintains a strong connection, and the Bose Music app guides you through setup, lets you personalize settings, and keeps your headphones’ software up to date.",https://www.amazon.com/Bose-QuietComfort-Bluetooth-Cancelling-Headphones/dp/B098FH5P3C/ref=sr_1_5?dib=eyJ2IjoiMSJ9.pCIyXyl6jitR9GPiizoNP8R6Rp2wdTu29Doa5k1Y0WQ3Y80RWmkZFGRvQ2gqEeVlPaW55KUlcwj8iC3riUn2dipc2L9K9GZUdRHe6JXaNy9yWgFMoHzElIiDtrAimhGvpXv13bbGps0aYAof51YiLAD-bqsafXT_l-hEx6cYf4sb6imXTgPyFeGrj6CraTFSw2ULITEdhIEkt3a8s7XXfnBKrXBEVVrI9SkZk1DEyUZZIhCd1ikrjY1g4kpQOslUyrEBBlJKU-rO1ug6M6r1aqIvIZ56MXTB_VcW3Eg9a2g.OoJ4li1pLUy1ifrOMzLOJEAMppLVpgPbtSYMRnScCi0&dib_tag=se&keywords=bose&qid=1710589484&s=aht&sr=1-5
5,"TOZO HT2 Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones, 60H Playtime, Hi-Res Audio Custom EQ via App Deep Bass Comfort Fit Ear Cups, for Home Office Travel",$49.99,4.6 ,https://m.media-amazon.com/images/I/71A2MkKuuWL.__AC_SX300_SY300_QL70_FMwebp_.jpg,,https://aax-us-iad.amazon.com/x/c/RCtbitpEJwtJgYnejqStmsMAAAGORxQc8gEAAAH2AQBvbm9fdHhuX2JpZDcgICBvbm9fdHhuX2ltcDEgICBTbwWe/https://www.amazon.com/TOZO-HT2-Cancelling-Headphones-Bluetooth/dp/B07KY8G9NM/ref=sxin_15_sbv_search_btf?content-id=amzn1.sym.c44d9f79-d706-4fe9-a72f-cc7d2fe3208f%3Aamzn1.sym.c44d9f79-d706-4fe9-a72f-cc7d2fe3208f&cv_ct_cx=bose&dib=eyJ2IjoiMSJ9.TAvBRfKnnCLDpUiZiq301w.BDHDbZ0l100dXGfqdIGo_J7vczk3Jn4Jboev2oKSvOE&dib_tag=se&keywords=bose&pd_rd_i=B07KY8G9NM&pd_rd_r=ae5b0584-45f5-45ca-a197-6640e62402cf&pd_rd_w=4xfdi&pd_rd_wg=kbC6E&pf_rd_p=c44d9f79-d706-4fe9-a72f-cc7d2fe3208f&pf_rd_r=PFDW8S9X86BAH2PVX7TM&qid=1710589484&s=aht&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-5190daf0-67e3-427c-bea6-c72c1df98776
6,"Bose Headphones 700, Noise Cancelling Bluetooth Over-Ear Wireless Headphones with Built-In Microphone for Clear Calls and Alexa Voice Control, Black",$249.99,4.5 ,https://m.media-amazon.com/images/I/61rgsnfRJlL.__AC_SX300_SY300_QL70_FMwebp_.jpg,"Bose Noise Cancelling Headphones 700 have redefined what wireless headphones can do. Keep your head up to the world with easy access to voice assistants — perfect for music, navigation, weather, and more. Confidently take calls or speak to Alexa anywhere. An unrivaled four-microphone system picks up and isolates your voice while cancelling the noise around you. With these Bluetooth headphones, Bose has even improved on what it’s most known for. 11 levels of noise cancellation let you truly personalize your environment. Set it low to let more of the world In, somewhere in the middle, or turn it all the way up to block out the noisy world around you. Signature active EQ promises an immersive listening experience at any volume. Whether you’re relaxing with quiet music or really cranking it, your music sounds like it should. These touch-sensitive wireless headphones are also designed with a streamlined stainless steel headband, and a lightweight, comfortable fit. The intuitive controls keep everything simple — manage volume, calls, and music just by touching the earcup. One touch is all you need to reach Spotify — instantly open your last session by tapping and holding the right earcup. You can repeat this step to discover brand new content. The Bose Music app gives you even more control. The Bluetooth headphones feature up to 20 hours of wireless battery life. Includes Bose Noise Cancelling Headphones 700, USB charging cable, audio cable, and carrying case. Available in Black or Silver.",https://www.amazon.com/Bose-Cancelling-Wireless-Bluetooth-Headphones/dp/B07Q9MJKBV/ref=sr_1_6?dib=eyJ2IjoiMSJ9.pCIyXyl6jitR9GPiizoNP8R6Rp2wdTu29Doa5k1Y0WQ3Y80RWmkZFGRvQ2gqEeVlPaW55KUlcwj8iC3riUn2dipc2L9K9GZUdRHe6JXaNy9yWgFMoHzElIiDtrAimhGvpXv13bbGps0aYAof51YiLAD-bqsafXT_l-hEx6cYf4sb6imXTgPyFeGrj6CraTFSw2ULITEdhIEkt3a8s7XXfnBKrXBEVVrI9SkZk1DEyUZZIhCd1ikrjY1g4kpQOslUyrEBBlJKU-rO1ug6M6r1aqIvIZ56MXTB_VcW3Eg9a2g.OoJ4li1pLUy1ifrOMzLOJEAMppLVpgPbtSYMRnScCi0&dib_tag=se&keywords=bose&qid=1710589484&s=aht&sr=1-6
7,"Urbanista Malibu Small Solar Bluetooth Speaker, 20W Wireless Portable Speaker, Infinite Playtime, IP67 Waterproof Speaker for Outdoor, Travel, Dual Pairing Speakers for iPhone, Samsung & More, Grey",$149.00,4.6 ,https://m.media-amazon.com/images/I/81X73AYswwL.__AC_SX300_SY300_QL70_FMwebp_.jpg,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4Mjc2NjI2NjY3Nzk1MDc1OjE3MTA1ODk0ODQ6c3BfbXRmOjMwMDA5Nzk0MDQwNTkwMjo6MDo6&url=%2FUrbanista-Bluetooth-Wireless-Portable-Waterproof%2Fdp%2FB0CGVR8H83%2Fref%3Dsr_1_7_sspa%3Fdib%3DeyJ2IjoiMSJ9.pCIyXyl6jitR9GPiizoNP8R6Rp2wdTu29Doa5k1Y0WQ3Y80RWmkZFGRvQ2gqEeVlPaW55KUlcwj8iC3riUn2dipc2L9K9GZUdRHe6JXaNy9yWgFMoHzElIiDtrAimhGvpXv13bbGps0aYAof51YiLAD-bqsafXT_l-hEx6cYf4sb6imXTgPyFeGrj6CraTFSw2ULITEdhIEkt3a8s7XXfnBKrXBEVVrI9SkZk1DEyUZZIhCd1ikrjY1g4kpQOslUyrEBBlJKU-rO1ug6M6r1aqIvIZ56MXTB_VcW3Eg9a2g.OoJ4li1pLUy1ifrOMzLOJEAMppLVpgPbtSYMRnScCi0%26dib_tag%3Dse%26keywords%3Dbose%26qid%3D1710589484%26s%3Daht%26sr%3D1-7-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
8,"Bose QuietComfort 45 Bluetooth Wireless Noise Cancelling Headphones Bundle with Adapters and Cables - Over Ear, Black",$316.99,4.6 ,https://m.media-amazon.com/images/I/81GM+EInAeL._AC_SY300_SX300_.jpg,,https://www.amazon.com/QuietComfort-Bluetooth-Wireless-Cancelling-Headphones/dp/B0CGQCX1QF/ref=sr_1_8?dib=eyJ2IjoiMSJ9.pCIyXyl6jitR9GPiizoNP8R6Rp2wdTu29Doa5k1Y0WQ3Y80RWmkZFGRvQ2gqEeVlPaW55KUlcwj8iC3riUn2dipc2L9K9GZUdRHe6JXaNy9yWgFMoHzElIiDtrAimhGvpXv13bbGps0aYAof51YiLAD-bqsafXT_l-hEx6cYf4sb6imXTgPyFeGrj6CraTFSw2ULITEdhIEkt3a8s7XXfnBKrXBEVVrI9SkZk1DEyUZZIhCd1ikrjY1g4kpQOslUyrEBBlJKU-rO1ug6M6r1aqIvIZ56MXTB_VcW3Eg9a2g.OoJ4li1pLUy1ifrOMzLOJEAMppLVpgPbtSYMRnScCi0&dib_tag=se&keywords=bose&qid=1710589484&s=aht&sr=1-8
9,"Bose QuietComfort 35 II Wireless Bluetooth Headphones, Noise-Cancelling, with Alexa Voice Control - Black",$155.03,4.7 ,https://m.media-amazon.com/images/I/61PzLRRxRbL.__AC_SX300_SY300_QL70_FMwebp_.jpg,"What happens when you clear away the noisy distractions of the world? Concentration goes to the next level. You get deeper into your music, your work, or whatever you want to focus on. That’s the power of Bose QuietComfort 35 wireless headphones II. Put them on and get closer to what you’re most passionate about. And that’s just the beginning. QuietComfort 35 wireless headphones II are now enabled with Bose AR — an innovative, audio-only take on augmented reality. Embedded in your headphones is a multi-directional motion sensor. One that Bose AR can utilize to provide contextual audio based on where you are. Unlock Bose AR via a firmware update through the Bose Connect app. They’re Alexa-enabled, too, so you can enjoy entertainment, get information, and manage your day — all without looking at your phone. Adjust your level of noise cancelling between three settings using the Action button or the Bose Connect app. Volume-optimized EQ gives you balanced audio performance at any volume, and a noise-rejecting dual-microphone system provides clearer calls, even in noisy environments. And with easy Bluetooth pairing, 20 hours of battery life, and a durable, comfortable fit — you can keep the music or the quiet going all day long. Included: QuietComfort 35 II, carrying case, charging cable, audio cable for enjoying music without battery power. Bose AR availability and functionality varies. Bose AR enhanced apps are currently available for iPhone and iPad users only. Apps for Android devices are in development.",https://www.amazon.com/Bose-QuietComfort-Wireless-Headphones-Cancelling/dp/B0756CYWWD/ref=sr_1_9?dib=eyJ2IjoiMSJ9.pCIyXyl6jitR9GPiizoNP8R6Rp2wdTu29Doa5k1Y0WQ3Y80RWmkZFGRvQ2gqEeVlPaW55KUlcwj8iC3riUn2dipc2L9K9GZUdRHe6JXaNy9yWgFMoHzElIiDtrAimhGvpXv13bbGps0aYAof51YiLAD-bqsafXT_l-hEx6cYf4sb6imXTgPyFeGrj6CraTFSw2ULITEdhIEkt3a8s7XXfnBKrXBEVVrI9SkZk1DEyUZZIhCd1ikrjY1g4kpQOslUyrEBBlJKU-rO1ug6M6r1aqIvIZ56MXTB_VcW3Eg9a2g.OoJ4li1pLUy1ifrOMzLOJEAMppLVpgPbtSYMRnScCi0&dib_tag=se&keywords=bose&qid=1710589484&s=aht&sr=1-9
